1,FT Report 2007,4/14/07 0:00,1,4/9/10 12:10,1,4/9/10 12:10,NULL,NULL
2,FT Report 2008,4/14/08 0:00,1,4/9/10 12:10,1,4/9/10 12:10,NULL,NULL
3,FT Report 2009,4/14/09 0:00,1,4/9/10 12:10,1,4/9/10 12:10,NULL,NULL
4,FT Report 2010,4/14/10 0:00,1,4/9/10 12:10,13,4/20/11 13:38,NULL,NULL
5,Company Report 2010,10/5/10 0:00,13,4/30/10 17:21,13,5/3/10 18:39,NULL,5/3/10 18:39
6,FT report 2006,4/20/06 0:00,13,6/4/10 15:29,13,6/4/10 15:31,NULL,6/4/10 15:31
7,Standard Report 2010,8/1/10 0:00,13,8/6/10 13:32,13,8/6/10 13:32,NULL,NULL
8,Report 2010,8/1/10 0:00,13,8/25/10 15:50,13,8/25/10 15:53,NULL,NULL
9,Standard Report 2009,1/7/09 0:00,5,9/16/10 11:54,13,9/30/10 12:45,NULL,NULL
10,BAT interim review October 2010,9/30/10 0:00,5,9/23/10 21:12,13,9/30/10 12:38,NULL,NULL
11,Report 2009,7/1/09 0:00,5,10/5/10 9:58,5,10/5/10 9:58,NULL,NULL
12,FT Report 2011,4/20/11 0:00,13,1/7/11 15:55,13,4/20/11 13:17,NULL,NULL
13,Basic Report 2011,1/12/11 0:00,13,1/12/11 12:23,13,4/14/11 10:39,NULL,NULL
14,Confidential Report 2011,5/10/11 0:00,84,4/12/11 13:34,5,5/11/11 14:58,NULL,NULL
15,ABB Confidential 2011,7/15/11 0:00,1,7/11/11 23:27,1,7/11/11 23:27,NULL,NULL
16,Novo Nordisk October 2010,10/1/10 0:00,15,7/14/11 15:48,15,7/14/11 15:48,NULL,NULL
17,Basic report June 2011,6/1/11 0:00,13,7/21/11 8:54,13,7/21/11 8:54,NULL,NULL
18,Basic Report July 2011,7/15/11 0:00,13,7/25/11 14:13,13,7/25/11 14:13,NULL,NULL
19,Basic report August 2011,1/8/10 0:00,15,7/25/11 15:46,15,7/25/11 15:46,NULL,NULL
20,Basic Report August 2011,7/1/11 0:00,15,7/25/11 15:53,15,7/25/11 15:53,NULL,NULL
21,Confidential Report July 2011,7/29/11 0:00,13,7/27/11 13:40,13,7/27/11 13:40,NULL,NULL
22,Basic Report September 2011,9/30/11 0:00,13,9/1/11 12:58,13,9/1/11 12:58,NULL,NULL
23,Confidential Report September 2011,9/30/11 0:00,13,9/29/11 11:40,13,9/29/11 11:40,NULL,NULL
24,FT Report 2012,4/25/12 0:00,13,10/5/11 11:26,5,3/26/12 22:39,NULL,NULL
25,Basic Report October 2011,10/20/11 0:00,13,10/7/11 9:25,13,10/7/11 9:25,NULL,NULL
26,Confidential Report October 2011,10/1/11 0:00,5,10/18/11 14:37,5,10/18/11 14:37,NULL,NULL
27,Hydro Basic report November 2011,11/28/11 0:00,1,11/28/11 1:59,1,11/28/11 1:59,NULL,NULL
28,Basic report 2012,12/14/11 0:00,284,11/30/11 12:10,284,11/30/11 12:10,NULL,NULL
29,Basic report January 2012,5/2/12 0:00,271,1/11/12 8:04,271,1/11/12 8:04,NULL,NULL
30,Confidential Report January 2012,1/1/12 0:00,5,1/12/12 16:32,5,1/12/12 16:32,NULL,NULL
31,Confidential Report January 2012,1/1/12 0:00,5,1/12/12 16:34,5,1/12/12 16:34,NULL,NULL
32,TNK-BP_Basic_2012,1/18/12 0:00,1,1/18/12 0:45,1,1/18/12 0:45,NULL,NULL
33,Basic Report March 2012,3/1/12 0:00,5,1/26/12 15:38,5,1/26/12 15:38,NULL,NULL
34,Basic report April 2012,1/5/12 0:00,273,4/12/12 14:11,273,4/12/12 14:11,NULL,NULL
35,Nordea Confidential report,5/2/12 0:00,271,4/13/12 10:40,5,5/3/12 11:57,NULL,NULL
36,Basic report May 2012,5/1/12 0:00,278,4/16/12 10:10,278,4/16/12 10:10,NULL,NULL
37,ING Basic report May 2012 ,6/1/12 0:00,274,4/19/12 9:29,5,6/20/12 11:09,NULL,NULL
38,Nordea basic report,2/5/12 0:00,5,5/3/12 13:51,5,5/3/12 13:51,NULL,NULL
39,FTINDEX-UPDATE 2012,7/1/12 0:00,272,5/21/12 10:30,13,12/7/12 13:28,NULL,NULL
40,FTINDEX-UPDATE 2012,7/1/12 0:00,272,5/21/12 10:30,13,12/7/12 13:28,NULL,NULL
41,Chevron updated 2012 report,7/1/12 0:00,271,6/20/12 11:18,271,6/20/12 11:18,NULL,NULL
42,Nordea updated report 2012,7/15/12 0:00,271,6/25/12 8:28,271,6/25/12 8:28,NULL,NULL
43,Saudi Aramco Confidential Report 2012,10/7/12 0:00,271,7/20/12 13:00,13,9/19/12 11:49,NULL,NULL
44,Siemens Confidential Report 2012,9/6/12 0:00,274,8/7/12 10:40,8,9/7/12 10:05,NULL,NULL
45,RBS Confidential Report,7/9/12 0:00,272,9/3/12 10:03,272,9/3/12 10:03,NULL,NULL
46,S Aramco Confidential 14 Sept 2012,9/14/12 0:00,271,9/14/12 14:33,271,9/14/12 14:33,NULL,NULL
47,Basic Report September 2012,9/19/12 0:00,13,9/19/12 11:51,13,9/19/12 11:51,NULL,NULL
48,saudi test,10/1/12 0:00,13,9/20/12 10:54,13,9/20/12 10:54,NULL,NULL
49,Luxottica Confidential Report 2012,9/30/12 0:00,274,9/20/12 11:49,274,9/20/12 11:49,NULL,NULL
50,confidential test,10/1/12 0:00,13,9/24/12 17:33,13,9/24/12 17:33,NULL,NULL
51,The Linde Group Confidential Report 2012,10/31/12 0:00,6,9/25/12 9:16,6,9/25/12 9:16,NULL,NULL
52,Unilever Confidential Report October 2012,10/31/12 0:00,271,10/30/12 16:00,271,10/30/12 16:00,NULL,NULL
53,Royal Bank of Scotland Basic report 2012,11/1/12 0:00,13,11/5/12 14:09,13,11/5/12 14:09,NULL,NULL
54,Orange Basic Report 2012,11/12/12 0:00,13,11/12/12 19:51,13,11/12/12 19:51,NULL,NULL
55,Orange Confidential November 2012,11/16/12 0:00,13,11/16/12 14:08,13,11/16/12 14:08,NULL,NULL
56,Grosvenor Basic 2012,11/30/12 0:00,337,11/26/12 13:32,337,11/26/12 13:32,NULL,NULL
57,Novo Nordisk Basic Report November 2012,12/1/12 0:00,271,11/27/12 14:05,271,11/27/12 14:05,NULL,NULL
58,Unilever Basic Report Nov 2012,12/1/12 0:00,271,11/29/12 10:57,271,11/29/12 10:57,NULL,NULL
59,Saudi Aramco Basic report November 2012,12/3/12 0:00,271,11/29/12 16:34,271,11/29/12 16:34,NULL,NULL
60,CITGO 2012,2/1/13 0:00,5,12/6/12 15:41,5,12/6/12 15:41,NULL,NULL
61,Eni Basic Report December 2012,12/21/12 0:00,6,12/17/12 13:54,6,12/17/12 13:54,NULL,NULL
62,FT Index 2013,5/22/13 0:00,13,12/18/12 15:04,5,3/25/13 16:12,NULL,NULL
63,Gazprom Basic Report Jan 2013,1/30/13 0:00,271,1/9/13 14:49,271,1/9/13 14:49,NULL,NULL
64,SberbankConfidential2013,2/10/13 0:00,8,1/20/13 13:40,8,1/20/13 13:40,NULL,NULL
65,Sanofi Confidential Report 2013,2/15/13 0:00,271,1/23/13 8:22,271,1/23/13 8:22,NULL,NULL
66,KPMG Confidential Report,2/28/13 0:00,6,1/31/13 16:57,6,1/31/13 16:57,NULL,NULL
67,LyondellBasell Basic Report 2013,5/27/13 0:00,271,4/15/13 17:22,271,4/15/13 17:22,NULL,NULL
68,Rio Tinto basic report 2013,5/30/13 0:00,13,5/20/13 21:12,13,5/20/13 21:12,NULL,NULL
69,Sandoz basic report,5/22/13 0:00,6,5/21/13 8:22,6,5/21/13 8:22,NULL,NULL
70,Aegon & Peers June 2013,7/2/13 0:00,13,6/12/13 10:58,13,7/2/13 16:04,NULL,NULL
71,Basic report Mars April 2012,5/5/12 0:00,13,6/21/13 14:35,13,6/21/13 14:37,NULL,NULL
72,HSBC Basic Report Nov2013,11/27/13 0:00,274,6/24/13 12:50,8,11/28/13 9:40,NULL,NULL
73,JPMorganChaseBasicReportNovember2013,11/30/13 0:00,274,6/25/13 20:52,8,12/10/13 17:03,NULL,NULL
74,Shell confidential ,7/11/13 0:00,8,7/1/13 10:20,8,7/1/13 10:20,NULL,NULL
75,Aegon test - do not use,7/8/18 0:00,13,7/8/13 10:24,13,7/9/13 15:39,NULL,NULL
76,Aegon do not use,12/19/13 0:00,13,7/8/13 11:43,13,7/8/13 11:43,NULL,NULL
77,RSA Group July 2013,8/15/13 0:00,13,7/8/13 14:37,13,7/8/13 14:37,NULL,NULL
78,Aegon test 2,7/9/13 0:00,13,7/9/13 15:15,13,7/9/13 15:15,NULL,NULL
79,CommBank Basic Report 2013,12/31/13 0:00,274,7/11/13 13:47,274,7/11/13 13:47,NULL,NULL
80,Unilever rolling update July 2013,7/24/13 0:00,271,7/19/13 12:30,271,7/24/13 9:44,NULL,NULL
81,GS rolling update July 2013,7/26/13 0:00,271,7/25/13 16:25,271,7/26/13 10:15,NULL,NULL
82,Gazprom rolling update July 2013,7/30/13 0:00,271,7/26/13 14:04,271,7/30/13 8:33,NULL,NULL
83,Voestalpine Basic Report,1/9/13 0:00,6,8/12/13 15:32,6,8/12/13 15:32,NULL,NULL
84,IBM Basic Report 19082013,8/19/13 0:00,278,8/19/13 16:09,278,8/19/13 16:09,NULL,NULL
85,Coca-Cola Basic Report,8/30/13 0:00,6,8/26/13 14:14,6,8/26/13 14:14,NULL,NULL
86,Eni Basic Report - rolling updates,8/30/13 0:00,6,8/26/13 14:20,6,8/26/13 14:20,NULL,NULL
87,BAT basic report - rolling updates,8/31/13 0:00,6,8/27/13 19:12,6,8/27/13 19:12,NULL,NULL
88,BASF Basic Report 2/9/2013,9/2/13 0:00,278,9/2/13 15:11,13,11/8/13 9:53,NULL,NULL
89,Roche basic report rolling update,5/9/13 0:00,274,9/4/13 11:26,274,9/4/13 11:26,NULL,NULL
90,EON Basic Report,9/9/13 0:00,278,9/9/13 15:22,278,9/9/13 15:22,NULL,NULL
91,Citigroup rolling updates,9/20/13 0:00,6,9/15/13 14:15,6,9/15/13 14:15,NULL,NULL
92,Siemens Confidential Report Oct 2013,10/18/13 0:00,271,9/16/13 15:32,271,9/16/13 15:32,NULL,NULL
93,Wells Fargo Basic Report,9/16/13 0:00,278,9/16/13 15:50,278,9/16/13 15:50,NULL,NULL
94,Samsung rolling updates,9/27/13 0:00,6,9/16/13 16:49,6,9/16/13 16:49,NULL,NULL
95,Novartis basic report - rolling updates,2/10/13 0:00,273,10/2/13 8:29,273,10/2/13 8:29,NULL,NULL
