id,report_type_metric_id,sub_metric_id,order_id,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
1,1,1,1,1,"2010-02-03 09:43:23",1,"2010-02-03 09:43:23",NULL,NULL
2,1,2,2,1,"2010-02-03 09:44:04",1,"2010-02-03 09:44:04",NULL,NULL
3,1,3,3,1,"2010-02-03 09:44:12",1,"2010-02-03 09:44:12",NULL,NULL
4,1,4,4,1,"2010-02-03 09:44:28",1,"2010-02-03 09:44:28",NULL,NULL
5,1,5,5,1,"2010-02-03 09:44:39",1,"2010-02-03 09:44:39",NULL,NULL
6,2,6,6,1,"2010-02-03 09:44:58",1,"2010-02-03 09:44:58",NULL,NULL
7,2,7,7,1,"2010-02-03 09:45:12",1,"2010-02-03 09:45:12",NULL,NULL
8,2,8,8,1,"2010-02-03 09:45:53",1,"2010-02-03 09:45:53",NULL,NULL
9,3,10,10,1,"2010-02-03 09:45:53",1,"2010-02-03 09:45:53",NULL,NULL
10,4,11,11,1,"2010-02-03 09:45:53",1,"2010-02-03 09:45:53",NULL,NULL
11,5,14,14,1,"2010-02-03 09:45:53",1,"2010-02-03 09:45:53",NULL,NULL
12,6,17,17,1,"2010-02-03 09:45:53",1,"2010-02-03 09:45:53",NULL,NULL
13,2,9,9,1,"2010-02-03 09:46:39",1,"2010-02-03 09:46:39",NULL,NULL
14,4,12,12,1,"2010-02-03 09:46:39",1,"2010-02-03 09:46:39",NULL,NULL
15,5,15,15,1,"2010-02-03 09:46:39",1,"2010-02-03 09:46:39",NULL,NULL
16,6,18,18,1,"2010-02-03 09:46:39",1,"2010-02-03 09:46:39",NULL,NULL
17,7,21,21,1,"2010-02-03 09:46:39",1,"2010-02-03 09:46:39",NULL,NULL
18,4,13,13,1,"2010-02-03 09:47:33",1,"2010-02-03 09:47:33",NULL,NULL
19,5,16,16,1,"2010-02-03 09:47:33",1,"2010-02-03 09:47:33",NULL,NULL
20,6,19,19,1,"2010-02-03 09:47:33",1,"2010-02-03 09:47:33",NULL,NULL
21,7,22,22,1,"2010-02-03 09:47:33",1,"2010-02-03 09:47:33",NULL,NULL
22,8,24,24,1,"2010-02-03 09:47:33",1,"2010-02-03 09:47:33",NULL,NULL
23,6,20,20,1,"2010-02-03 09:49:07",1,"2010-02-03 09:49:07",NULL,NULL
24,7,23,23,1,"2010-02-03 09:49:07",1,"2010-02-03 09:49:07",NULL,NULL
25,8,25,25,1,"2010-02-03 09:49:07",1,"2010-02-03 09:49:07",NULL,NULL
26,8,26,26,1,"2010-02-03 09:49:27",1,"2010-02-03 09:49:27",NULL,NULL
27,9,1,1,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
28,9,2,2,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
29,9,3,3,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
30,9,4,4,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
31,9,5,5,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
32,10,6,6,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
