id,report_type_id,metric_id,order_id,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
1,1,1,1,1,"2010-02-02 17:26:50",1,"2010-02-02 17:28:08",NULL,NULL
2,1,2,2,1,"2010-02-02 17:26:59",1,"2010-02-02 17:26:59",NULL,NULL
3,1,3,3,1,"2010-02-02 17:28:08",1,"2010-02-02 17:28:08",NULL,NULL
4,1,4,4,1,"2010-02-02 17:30:02",1,"2010-02-02 17:30:15",NULL,NULL
5,1,5,5,1,"2010-02-02 17:30:15",1,"2010-02-02 17:30:15",NULL,NULL
6,1,6,6,1,"2010-02-03 09:45:53",1,"2010-02-03 09:45:53",NULL,NULL
7,1,7,7,1,"2010-02-03 09:46:39",1,"2010-02-03 09:46:39",NULL,NULL
8,1,8,8,1,"2010-02-03 09:47:33",1,"2010-02-03 09:47:33",NULL,NULL
9,2,1,1,1,"2010-04-29 11:09:32",1,"2010-04-29 11:09:32",NULL,NULL
10,2,2,2,1,"2010-04-29 11:09:33",1,"2010-04-29 11:09:33",NULL,NULL
11,2,3,3,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
12,2,4,4,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
13,2,5,5,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
14,2,6,6,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
15,2,7,7,1,"2010-04-29 11:09:34",1,"2010-04-29 11:09:34",NULL,NULL
16,2,8,8,1,"2010-04-29 11:09:35",1,"2010-04-29 11:09:35",NULL,NULL
33,6,1,1,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
34,6,2,2,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
35,6,3,3,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
36,6,4,4,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
37,6,5,5,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
38,6,6,6,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
39,6,7,7,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
40,6,8,8,1,"2010-08-09 14:14:17",1,"2010-08-09 14:14:17",NULL,NULL
41,7,1,1,13,"2010-08-20 14:33:07",13,"2010-08-20 14:33:07",NULL,NULL
42,7,2,2,13,"2010-08-20 14:33:07",13,"2010-08-20 14:33:07",NULL,NULL
43,7,3,3,13,"2010-08-20 14:33:08",13,"2010-08-20 14:33:08",NULL,NULL
44,7,4,4,13,"2010-08-20 14:33:08",13,"2010-08-20 14:33:08",NULL,NULL
45,7,5,5,13,"2010-08-20 14:33:08",13,"2010-08-20 14:33:08",NULL,NULL
46,7,6,6,13,"2010-08-20 14:33:08",13,"2010-08-20 14:33:08",NULL,NULL
47,7,7,7,13,"2010-08-20 14:33:08",13,"2010-08-25 11:12:05",NULL,"2010-08-25 11:12:05"
48,7,8,8,13,"2010-08-20 14:33:08",13,"2010-08-25 11:11:55",NULL,"2010-08-25 11:11:55"
49,9,1,1,13,"2010-08-25 11:12:50",13,"2010-08-25 11:12:50",NULL,NULL
