FT Report,1,0,0,1,1/28/10 11:27,13,1/10/11 11:10,NULL,NULL,1
Report,1,0,0,1,4/29/10 11:09,13,9/30/10 13:22,NULL,NULL,2
Standard Report,0,1,1,1,8/9/10 14:14,13,8/20/10 14:32,NULL,8/20/10 14:32,6
Standard Report,0,1,1,13,8/20/10 14:33,13,8/25/10 11:12,NULL,8/25/10 11:12,7
test,0,0,0,13,8/20/10 14:44,13,8/20/10 14:45,NULL,8/20/10 14:45,8
Standard Report,0,1,1,13,8/25/10 11:12,13,8/25/10 11:43,NULL,8/25/10 11:43,9
Standard Report,0,1,1,13,8/25/10 11:43,13,8/25/10 12:03,NULL,8/25/10 12:03,10
Standard Report,0,1,1,13,8/25/10 12:57,13,8/25/10 15:21,NULL,NULL,11
Test 3,0,0,0,13,12/6/10 15:28,13,12/9/10 14:07,NULL,12/9/10 14:07,12
FT Index Report,0,0,0,13,1/7/11 11:31,13,1/7/11 15:18,NULL,1/7/11 15:18,13
FT Index Report,1,0,0,13,1/7/11 15:20,13,4/20/11 11:09,NULL,NULL,14
Basic report,1,0,0,13,4/13/11 13:42,13,7/27/11 13:14,NULL,NULL,15
| Standard Report |,1,1,1,13,4/13/11 16:36,13,4/13/11 17:31,NULL,4/13/11 17:31,16
Confidential Report,0,1,1,13,4/13/11 17:33,13,5/16/11 11:48,NULL,NULL,17
Test Confidential Report - do not use,0,1,1,13,5/9/11 12:19,13,5/16/11 11:41,NULL,NULL,18
test k,0,0,0,13,12/1/11 15:11,13,12/1/11 15:11,NULL,NULL,19
test m,0,0,0,5,3/21/12 10:54,5,3/21/12 10:55,NULL,NULL,20
test nov 2012,0,0,0,13,11/12/12 22:10,13,11/12/12 22:10,NULL,NULL,21
Test 28,0,0,0,234,11/28/12 12:53,234,11/28/12 12:53,NULL,NULL,22
test jan 2013,1,0,0,13,1/28/13 13:40,13,1/28/13 14:18,NULL,1/28/13 14:18,23
