id,report_type_id,company_id,"name","uuid",total_score,published_by,"published_at",published_immediately,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
87,1,26,NULL,"a4d98285-2eb2-5b94-e597-47993230dfde",151,1,"2010-04-14 00:00:00",0,8,"2009-11-14 16:40:09",13,"2011-04-20 13:38:25",NULL,NULL
88,1,74,NULL,"c4bae0fd-9838-87a4-adb0-57c2fc73b1fa",162,1,"2010-04-14 00:00:00",0,13,"2010-02-18 13:21:39",13,"2011-04-20 13:38:25",NULL,NULL
89,1,74,NULL,"dd9a69ec-9b0c-e7d4-0125-713a425cf750",166,13,"2009-04-14 00:00:00",0,13,"2010-02-18 13:21:39",1,"2010-04-15 01:23:06",NULL,NULL
90,1,43,NULL,"babb9670-fc70-2794-6ddc-04961de78ce0",187,5,"2008-04-14 00:00:00",0,5,"2009-12-08 17:50:52",5,"2010-04-15 01:23:09",NULL,NULL
91,1,10,NULL,"6701012a-88e7-b214-b5b2-01b479cd627e",196,1,"2010-04-14 00:00:00",0,1,"2009-10-14 16:04:40",13,"2011-04-20 13:38:25",NULL,NULL
92,1,10,NULL,"8bb4ba61-beb7-8d84-398b-432575ab54e5",200,1,"2007-04-14 00:00:00",0,1,"2009-10-14 16:04:40",1,"2010-04-15 01:23:18",NULL,NULL
93,1,50,NULL,"c0a3b3a8-5768-9654-3912-973b22972bc3",167,1,"2010-04-14 00:00:00",0,5,"2009-12-22 17:12:31",13,"2011-04-20 13:38:25",NULL,NULL
94,1,50,NULL,"459d47ef-df31-3a34-9d62-03489d89c01c",141,15,"2009-04-14 00:00:00",0,5,"2009-12-22 17:12:31",13,"2010-09-10 11:15:40",NULL,NULL
95,1,50,NULL,"5181b484-3670-5c04-41a4-82d03480ccc3",144,5,"2008-04-14 00:00:00",0,5,"2009-12-22 17:12:31",13,"2010-09-13 10:34:49",NULL,NULL
96,1,50,NULL,"3e12ca1e-588e-3f04-5141-39a24e440c99",135,5,"2007-04-14 00:00:00",0,5,"2009-12-22 17:12:31",13,"2010-09-13 11:12:11",NULL,NULL
97,1,1,NULL,"9491ebe2-69c6-1064-f53d-371088c56678",146,1,"2010-04-14 00:00:00",0,NULL,"2009-09-08 15:16:19",13,"2011-04-20 13:38:25",NULL,NULL
98,1,1,NULL,"83b0b8b1-a6d3-2d84-3d21-d7ea6315bdfa",152,15,"2009-04-14 00:00:00",0,NULL,"2009-09-08 15:16:19",1,"2010-04-15 01:23:43",NULL,NULL
99,1,1,NULL,"33c3b075-2d37-d784-459a-1c06d8a1348d",146,15,"2008-04-14 00:00:00",0,NULL,"2009-09-08 15:16:19",1,"2010-04-15 01:23:45",NULL,NULL
100,1,1,NULL,"16392e03-fea0-6e34-79d9-bb60d3c0ce1c",150,15,"2007-04-14 00:00:00",0,NULL,"2009-09-08 15:16:19",1,"2010-04-15 01:23:47",NULL,NULL
101,1,42,NULL,"fa6797d4-318f-8b84-91b3-ef6ab6a5e62a",153,5,"2008-04-14 00:00:00",0,5,"2009-12-08 12:06:14",5,"2010-04-15 01:23:50",NULL,NULL
